STATION,NAME,DATE,TAVG
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/22/2017,87
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/23/2017,87
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/24/2017,87
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/25/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/26/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/27/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/28/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/29/2017,81
VNM00048820,"NOIBAI INTERNATIONAL, VN",6/30/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/1/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/2/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/3/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/4/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/5/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/6/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/7/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/8/2017,81
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/9/2017,86
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/10/2017,81
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/11/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/12/2017,81
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/13/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/14/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/15/2017,81
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/16/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/17/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/18/2017,81
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/19/2017,81
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/20/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/21/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/22/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/23/2017,86
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/24/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/25/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/26/2017,86
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/27/2017,88
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/28/2017,86
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/29/2017,89
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/30/2017,90
VNM00048820,"NOIBAI INTERNATIONAL, VN",7/31/2017,88
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/1/2017,86
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/2/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/3/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/4/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/5/2017,82
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/6/2017,87
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/7/2017,88
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/8/2017,90
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/9/2017,90
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/10/2017,85
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/11/2017,90
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/12/2017,88
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/13/2017,87
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/14/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/15/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/16/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/17/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/18/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/19/2017,83
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/20/2017,86
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/21/2017,86
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/22/2017,89
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/23/2017,84
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/24/2017,81
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/25/2017,80
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/26/2017,81
VNM00048820,"NOIBAI INTERNATIONAL, VN",8/27/2017,84
